security_id,current_ticker,current_exchange,wave,target_start,target_end,estimated_calendar_days,estimated_history_years,estimated_history_days,range_chunk_count,page_size,estimated_pages,estimated_requests,estimate_label,complexity_weight,estimated_work_units,identity_interval_count,required_edge_case
KBS:HOSE:LPB,LPB,HOSE,2,2017-10-05,2026-09-23,3276,8.969,2263,10,20,118,118,REQUEST_ESTIMATE,12,130,2,YES
KBS:HOSE:MBB,MBB,HOSE,1,2011-11-01,2026-09-23,5441,14.897,3758,16,20,195,195,REQUEST_ESTIMATE,0,195,1,NO
KBS:HOSE:MWG,MWG,HOSE,1,2014-07-14,2026-09-23,4455,12.197,3077,13,20,159,159,REQUEST_ESTIMATE,0,159,1,NO
KBS:HOSE:NO1,NO1,HOSE,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:HOSE:PLX,PLX,HOSE,1,2017-04-21,2026-09-23,3443,9.427,2378,10,20,123,123,REQUEST_ESTIMATE,0,123,1,NO
KBS:HOSE:PNJ,PNJ,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:HOSE:SHB,SHB,HOSE,2,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,12,208,2,YES
KBS:HOSE:STK,STK,HOSE,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:HOSE:TVB,TVB,HOSE,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:HOSE:VCG,VCG,HOSE,2,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,12,208,2,YES
KBS:HOSE:VHC,VHC,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
KBS:UPCOM:ACV,ACV,UPCOM,1,2016-11-21,2026-09-23,3594,9.84,2482,11,20,129,129,REQUEST_ESTIMATE,8,137,1,YES
KBS:UPCOM:DDH,DDH,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:HLS,HLS,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:HND,HND,UPCOM,2,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:MPC,MPC,UPCOM,1,2017-10-16,2026-09-23,3265,8.939,2255,10,20,117,117,REQUEST_ESTIMATE,0,117,1,NO
KBS:UPCOM:OIL,OIL,UPCOM,1,2018-03-07,2026-09-23,3123,8.55,2157,9,20,112,112,REQUEST_ESTIMATE,0,112,1,NO
KBS:UPCOM:POM,POM,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:QNS,QNS,UPCOM,1,2016-12-20,2026-09-23,3565,9.761,2462,11,20,128,128,REQUEST_ESTIMATE,0,128,1,NO
KBS:UPCOM:SGB,SGB,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:UDC,UDC,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
KBS:UPCOM:VEA,VEA,UPCOM,1,2018-07-02,2026-09-23,3006,8.23,2076,9,20,108,108,REQUEST_ESTIMATE,0,108,1,NO
KBS:UPCOM:VGI,VGI,UPCOM,1,2018-09-25,2026-09-23,2921,7.997,2018,9,20,105,105,REQUEST_ESTIMATE,0,105,1,NO
KBS:UPCOM:VNZ,VNZ,UPCOM,3,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
PLAN_INPUT_UNRESOLVED:VCB,VCB,HOSE,2,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,14,210,0,YES
VCI:1391,CTG,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:148,BCC,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:177,BID,HOSE,1,2014-01-24,2026-09-23,4626,12.666,3195,13,20,165,165,REQUEST_ESTIMATE,0,165,1,NO
VCI:1992,DHG,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2035,DPM,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:211,BMP,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2212,GEX,HOSE,1,2015-10-26,2026-09-23,3986,10.913,2753,12,20,143,143,REQUEST_ESTIMATE,0,143,1,NO
VCI:2239,GVR,HOSE,1,2018-03-21,2026-09-23,3109,8.512,2147,9,20,111,111,REQUEST_ESTIMATE,0,111,1,NO
VCI:2246,HAH,HOSE,1,2015-03-11,2026-09-23,4215,11.54,2911,12,20,151,151,REQUEST_ESTIMATE,0,151,1,NO
VCI:2273,HDB,HOSE,1,2018-01-05,2026-09-23,3184,8.717,2199,9,20,114,114,REQUEST_ESTIMATE,0,114,1,NO
VCI:2353,HPG,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2423,IMP,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2503,LAS,HNX,1,2012-03-01,2026-09-23,5320,14.566,3674,15,20,190,190,REQUEST_ESTIMATE,0,190,1,NO
VCI:2625,MSN,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2729,NT2,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2833,POW,HOSE,1,2018-03-06,2026-09-23,3124,8.553,2158,9,20,112,112,REQUEST_ESTIMATE,0,112,1,NO
VCI:2878,PVD,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2888,PVS,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,8,204,1,YES
VCI:2929,REE,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:2950,SAS,UPCOM,1,2015-04-16,2026-09-23,4179,11.442,2886,12,20,149,149,REQUEST_ESTIMATE,0,149,1,NO
VCI:3084,SSI,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:3219,TNG,HNX,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:3478,VNM,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,8,204,1,YES
VCI:43,AAA,HOSE,1,2016-11-25,2026-09-23,3590,9.829,2480,11,20,129,129,REQUEST_ESTIMATE,0,129,1,NO
VCI:57,ACB,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
VCI:828,CMG,HOSE,1,2011-09-23,2026-09-23,5480,15.004,3785,16,20,196,196,REQUEST_ESTIMATE,0,196,1,NO
