priority_rank,security_id,current_ticker,current_exchange,candidate_sources,liquidity_signal,active_frequency_signal,index_market_importance_signal,index_market_importance_value,size_market_cap_signal,exchange_preference_value,identity_confidence_signal,identity_confidence_value,strategic_relevance_signal,strategic_relevance_value,available_weight,priority_score,priority_tier,popularity_signal,research_eligibility_effect
31,VCI:2423,IMP,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
32,VCI:2625,MSN,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
33,VCI:2729,NT2,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
34,VCI:2833,POW,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
35,VCI:2878,PVD,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
36,VCI:2929,REE,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
37,VCI:3084,SSI,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
38,VCI:43,AAA,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
39,VCI:57,ACB,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
40,VCI:828,CMG,HOSE,REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,100,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,95.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
41,VCI:2888,PVS,HNX,A5_R1_1_CAFEF_EVIDENCE;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,100,40,90.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
42,KBS:HNX:IDC,IDC,HNX,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
43,KBS:HNX:NTP,NTP,HNX,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
44,KBS:HNX:PVI,PVI,HNX,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
45,KBS:HNX:VCS,VCS,HNX,CURRENT_500;REPRESENTATIVE_PILOT_55,SIGNAL_UNAVAILABLE,SIGNAL_UNAVAILABLE,OFFLINE_PROJECT_IMPORTANCE_PROXY,100,SIGNAL_UNAVAILABLE,60,VERIFIED_LISTING_SNAPSHOT,100,OFFLINE_PROJECT_OR_EDGE_EVIDENCE,60,40,85.0,HIGH,POPULARITY_SIGNAL_NOT_AVAILABLE,NONE_ACQUISITION_ORDER_ONLY
