selection_order,priority_rank,security_id,current_ticker,current_exchange,priority_score,priority_tier,wave,listing_date,identity_status,historical_identity_intervals,target_start,target_end,history_target_reason,required_edge_case,known_evidence_tags,selection_reason,research_eligibility_effect
29,29,VCI:2273,HDB,HOSE,95.0,HIGH,1,2018-01-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-01-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HDB""}]",2018-01-05,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
30,30,VCI:2353,HPG,HOSE,95.0,HIGH,1,2007-11-15,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HPG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
31,31,VCI:2423,IMP,HOSE,95.0,HIGH,1,2006-12-04,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-04"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""IMP""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
32,32,VCI:2625,MSN,HOSE,95.0,HIGH,1,2009-11-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-11-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""MSN""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
33,33,VCI:2729,NT2,HOSE,95.0,HIGH,1,2010-01-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""NT2""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
34,34,VCI:2833,POW,HOSE,95.0,HIGH,1,2018-03-06,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2018-03-06"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""POW""}]",2018-03-06,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
35,35,VCI:2878,PVD,HOSE,95.0,HIGH,1,2006-12-05,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-05"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""PVD""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
36,36,VCI:2929,REE,HOSE,95.0,HIGH,1,2000-07-28,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2000-07-28"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""REE""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
37,37,VCI:3084,SSI,HOSE,95.0,HIGH,1,2006-12-15,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""SSI""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
38,38,VCI:43,AAA,HOSE,95.0,HIGH,1,2016-11-25,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-25"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""AAA""}]",2016-11-25,2026-09-23,LISTING_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
39,39,VCI:57,ACB,HOSE,95.0,HIGH,1,2006-11-21,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ACB""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
40,40,VCI:828,CMG,HOSE,95.0,HIGH,1,2010-01-22,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2010-01-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CMG""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,NO,REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT,NONE_ACQUISITION_ORDER_ONLY
41,41,VCI:2888,PVS,HNX,90.0,HIGH,1,2007-09-20,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-09-20"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HNX"",""ticker"":""PVS""}]",2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE,PRIOR_REPRESENTATIVE_PILOT;EXISTING_CAFEF_EVIDENCE;REQUIRED_EDGE_CASE,NONE_ACQUISITION_ORDER_ONLY
