security_id,ticker,exchange,candidate_source,market_feature_ready_v2,latest253_complete,trading_activity_status,tradability_eligible,historical_identity_ready,research_ready,full_history_status,primary_market_blocker,all_market_blockers
KBS:UPCOM:GDA,GDA,UPCOM,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:GEL,GEL,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:GHC,GHC,HOSE,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:UPCOM:GTT,GTT,UPCOM,C7_COMPLETE_EXPANSION,False,False,OBSERVED_ZERO_VOLUME,False,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:UPCOM:GTX,GTX,UPCOM,C7_COMPLETE_EXPANSION,False,False,UNKNOWN,,False,False,INCOMPLETE,NO_FEATURE_SNAPSHOT_AT_COMPARISON_DATE,NO_FEATURE_SNAPSHOT_AT_COMPARISON_DATE|METADATA_WINDOW_CONSTRAINT|MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:HNA,HNA,HOSE,C7_COMPLETE_EXPANSION,False,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:HPA,HPA,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:KLB,KLB,HOSE,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:HOSE:LPS,LPS,HOSE,C7_COMPLETE_EXPANSION,False,False,ACTIVE,True,False,False,UNCERTAIN_BOUNDARY,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|INSUFFICIENT_THREE_YEAR_HISTORY|IDENTITY_OR_PROVIDER_BOUNDARY
KBS:HOSE:MCH,MCH,HOSE,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:HOSE:NTC,NTC,HOSE,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:HOSE:PDV,PDV,HOSE,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
KBS:HOSE:QNP,QNP,HOSE,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:RYG,RYG,HOSE,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:HOSE:SBG,SBG,HOSE,C7_COMPLETE_EXPANSION,False,True,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_THREE_YEAR_HISTORY,INSUFFICIENT_THREE_YEAR_HISTORY
KBS:UPCOM:SDA,SDA,UPCOM,C5_BASELINE_500,False,False,ACTIVE,True,False,False,INCOMPLETE,INSUFFICIENT_LATEST253_REAL_OBSERVATIONS,MISSING_REQUIRED_FEATURES|INSUFFICIENT_LATEST253_REAL_OBSERVATIONS|CALENDAR_UNCERTAIN
