security_id,ticker,exchange,candidate_source,market_feature_ready_v2,latest253_complete,trading_activity_status,tradability_eligible,historical_identity_ready,research_ready,full_history_status
KBS:HNX:V21,V21,HNX,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HOSE:VAB,VAB,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VAV,VAV,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VBC,VBC,HNX,C7_COMPLETE_EXPANSION,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HNX:VC1,VC1,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VC7,VC7,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VC9,VC9,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VCA,VCA,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VCC,VCC,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VCG,VCG,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VCM,VCM,HNX,C7_COMPLETE_EXPANSION,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:VCP,VCP,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VCR,VCR,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HNX:VCS,VCS,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VDL,VDL,HNX,C7_COMPLETE_EXPANSION,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:VDN,VDN,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HOSE:VDS,VDS,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VE3,VE3,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VEA,VEA,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VFG,VFG,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VFS,VFS,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VGC,VGC,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VGG,VGG,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VGI,VGI,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VGP,VGP,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VGS,VGS,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VGT,VGT,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VHC,VHC,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VHE,VHE,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VHG,VHG,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VHL,VHL,HNX,C7_COMPLETE_EXPANSION,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HOSE:VHM,VHM,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VID,VID,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VIG,VIG,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VIM,VIM,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:VIN,VIN,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HOSE:VIP,VIP,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VIT,VIT,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VIW,VIW,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VIX,VIX,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VJC,VJC,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VKC,VKC,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VLG,VLG,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VLW,VLW,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VMC,VMC,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VMD,VMD,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VNB,VNB,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VND,VND,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VNF,VNF,HNX,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VNG,VNG,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VNT,VNT,HNX,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:VNZ,VNZ,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VOS,VOS,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VPB,VPB,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VPG,VPG,HOSE,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VPR,VPR,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VPS,VPS,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VSA,VSA,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VSC,VSC,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VSE,VSE,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HOSE:VSH,VSH,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VSI,VSI,HOSE,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:VST,VST,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VTC,VTC,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VTH,VTH,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VTK,VTK,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VTO,VTO,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HOSE:VTP,VTP,HOSE,C7_COMPLETE_EXPANSION,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VTV,VTV,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:VTZ,VTZ,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:VW3,VW3,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:WSB,WSB,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:HNX:WSS,WSS,HNX,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:HNX:X20,X20,HNX,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:XMC,XMC,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
KBS:UPCOM:XMD,XMD,UPCOM,C5_BASELINE_500,True,True,OBSERVED_ZERO_VOLUME,False,False,False,INCOMPLETE
KBS:UPCOM:XMP,XMP,UPCOM,C5_BASELINE_500,True,True,ACTIVE,True,False,False,INCOMPLETE
