security_id,ticker,exchange,history_policy,estimated_sessions,estimated_pages,estimated_requests,estimate_basis
KBS:HOSE:HAP,HAP,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HCD,HCD,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HDG,HDG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HHS,HHS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HII,HII,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HMC,HMC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HNA,HNA,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HPA,HPA,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HPX,HPX,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HSG,HSG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HSL,HSL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HT1,HT1,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HTI,HTI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HTL,HTL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HVH,HVH,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:HVN,HVN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ICT,ICT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:IDI,IDI,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:IJC,IJC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ILB,ILB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:KDC,KDC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:KHG,KHG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:KOS,KOS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:LBM,LBM,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:LCG,LCG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:LGC,LGC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:LPS,LPS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:MDG,MDG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:MHC,MHC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:MIG,MIG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:MSB,MSB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:MZG,MZG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NAB,NAB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NBB,NBB,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NCT,NCT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NHA,NHA,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NHH,NHH,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NHT,NHT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NKG,NKG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NLG,NLG,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NSC,NSC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NTL,NTL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NVL,NVL,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:NVT,NVT,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:OGC,OGC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:OPC,OPC,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:ORS,ORS,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
KBS:HOSE:PAN,PAN,HOSE,BASE_2020,1696,58,58,BASE_2020_252_SESSIONS_PER_YEAR_PLUS_ONE_OVERLAP_PAGE
