security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
KBS:UPCOM:HNI,HNI,UPCOM,CTCP May Hữu Nghị,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HNP,HNP,UPCOM,CTCP Hanel Xốp nhựa,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HNR,HNR,UPCOM,CTCP Rượu và Nước giải khát Hà Nội,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HOT,HOT,UPCOM,CTCP Du lịch - Dịch vụ Hội An,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPB,HPB,UPCOM,CTCP Bao bì PP,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPD,HPD,UPCOM,CTCP Thủy điện ĐăK Đoa,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPI,HPI,UPCOM,CTCP Khu công nghiệp Hiệp Phước,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPO,HPO,UPCOM,CTCP Công nghiệp Hapulico,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPP,HPP,UPCOM,CTCP Sơn Hải Phòng,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
KBS:UPCOM:HPW,HPW,UPCOM,CTCP Cấp nước Hải Phòng,stock,RESERVE,UPCOM,UNAVAILABLE,UNAVAILABLE,UPCOM,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
