priority_rank,security_id,ticker,exchange,company_name,instrument_type,selection_status,priority_tier,index_importance_signal,market_importance_signal,exchange_signal,history_signal,identity_signal,known_provider_evidence,duplicate_identity_status,selection_reason
29,KBS:HOSE:C32,C32,HOSE,CTCP Đầu tư và Xây dựng 3-2,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
30,KBS:HOSE:C47,C47,HOSE,CTCP Xây dựng 47,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
31,KBS:HOSE:CCC,CCC,HOSE,CTCP Xây dựng CDC,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
32,KBS:HOSE:CCI,CCI,HOSE,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
33,KBS:HOSE:CDC,CDC,HOSE,CTCP Chương Dương,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
34,KBS:HOSE:CIG,CIG,HOSE,CTCP COMA 18,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
35,KBS:HOSE:CLL,CLL,HOSE,CTCP Cảng Cát Lái,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
36,KBS:HOSE:CMV,CMV,HOSE,CTCP Thương nghiệp Cà Mau,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
37,KBS:HOSE:CNG,CNG,HOSE,CTCP CNG Việt Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
38,KBS:HOSE:COM,COM,HOSE,CTCP Vật tư - Xăng Dầu,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
39,KBS:HOSE:CRC,CRC,HOSE,CTCP Create Capital Việt Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
40,KBS:HOSE:CRV,CRV,HOSE,CTCP Tập đoàn Bất động sản CRV,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
41,KBS:HOSE:CSM,CSM,HOSE,CTCP Công nghiệp Cao su Miền Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
42,KBS:HOSE:CSV,CSV,HOSE,CTCP Hóa chất Cơ bản Miền Nam,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
43,KBS:HOSE:CTF,CTF,HOSE,CTCP City Auto,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
44,KBS:HOSE:CTI,CTI,HOSE,CTCP Đầu tư Phát triển Cường Thuận IDICO,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
45,KBS:HOSE:CVT,CVT,HOSE,CTCP CMC,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
46,KBS:HOSE:D2D,D2D,HOSE,CTCP Phát triển Đô thị Công nghiệp số 2,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
47,KBS:HOSE:DAT,DAT,HOSE,CTCP Đầu tư du lịch và Phát triển Thủy sản,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
48,KBS:HOSE:DBD,DBD,HOSE,CTCP Dược - Trang thiết bị Y tế Bình Định (Bidiphar),stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
49,KBS:HOSE:DBT,DBT,HOSE,CTCP Dược phẩm Bến Tre,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
50,KBS:HOSE:DHA,DHA,HOSE,CTCP Hóa An,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
51,KBS:HOSE:DHC,DHC,HOSE,CTCP Đông Hải Bến Tre,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
52,KBS:HOSE:DHM,DHM,HOSE,CTCP Đầu tư và Thương mại DHM,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
53,KBS:HOSE:DIG,DIG,HOSE,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
54,KBS:HOSE:DLG,DLG,HOSE,CTCP Tập đoàn Đức Long Gia Lai,stock,SELECTED_EXPANSION_600,HOSE,UNAVAILABLE,UNAVAILABLE,HOSE,UNAVAILABLE,CURRENT_LISTING_ONLY,KBS_CURRENT_LISTING,NO_KNOWN_MATCH,KBS current stock listing; exchange is deterministic pre-crawl priority signal
