snapshot_date,security_id,candidate_source,market_experiment_eligible
2026-08-28,KBS:HNX:SDU,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SEB,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SED,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SFN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SGC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SGD,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SGH,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SHE,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SHS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SJ1,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SJE,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SLS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SMN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:SRA,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:STC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:STP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:SVN,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TA9,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:TDT,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TET,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:THD,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:THS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:THT,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TIG,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TKU,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TMB,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:TMX,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TOT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:TTC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:TTH,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TTT,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TV3,C5_BASELINE_500,True
2026-08-28,KBS:HNX:TVC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:TVD,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:UNI,C5_BASELINE_500,True
2026-08-28,KBS:HNX:V12,C5_BASELINE_500,True
2026-08-28,KBS:HNX:V21,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VBC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VC1,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VC7,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VC9,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VCC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VCM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VCS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VDL,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VE3,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VFS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VGP,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VGS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VHE,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VHL,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VIG,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VIT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VMC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VNF,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HNX:VNT,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VSA,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VTC,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VTH,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VTV,C5_BASELINE_500,True
2026-08-28,KBS:HNX:VTZ,C5_BASELINE_500,True
2026-08-28,KBS:HNX:WSS,C5_BASELINE_500,True
2026-08-28,KBS:HNX:X20,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:AAM,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:AAT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ABR,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ABS,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ABT,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ACC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:ACG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ACL,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:ADG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ADP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ADS,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:AGG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:AGR,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:ANV,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:APG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:APH,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ASG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ASM,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:ASP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:AST,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:BAF,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BCE,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:BCM,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:BFC,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:BHN,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BIC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BKG,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:BMI,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BRC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BSI,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BSR,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BTP,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:BVH,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:C32,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CCI,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CCL,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CDC,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CHP,C5_BASELINE_500,True
2026-08-28,KBS:HOSE:CIG,C7_COMPLETE_EXPANSION,True
2026-08-28,KBS:HOSE:CII,C5_BASELINE_500,True
